domain,condition,accuracy,macro_f1,invalid_rate,n_items
AI_Computing,length_controlled,0.25,0.10869565217391305,0.1,20
AI_Computing,proposed,0.25,0.17857142857142858,0.15,20
AI_Computing,proposed_no_validator,0.25,0.17857142857142858,0.15,20
AI_Computing,raw,0.2,0.10526315789473682,0.3,20
AI_Computing,rule_only,0.2,0.15476190476190477,0.15,20
Communication_Media,length_controlled,0.2,0.09999999999999999,0.26666666666666666,15
Communication_Media,proposed,0.26666666666666666,0.13333333333333333,0.26666666666666666,15
Communication_Media,proposed_no_validator,0.26666666666666666,0.13333333333333333,0.26666666666666666,15
Communication_Media,raw,0.13333333333333333,0.0625,0.2,15
Communication_Media,rule_only,0.13333333333333333,0.06666666666666667,0.26666666666666666,15
Daily_Tech_Society,length_controlled,0.2,0.09375,0.13333333333333333,15
Daily_Tech_Society,proposed,0.13333333333333333,0.07692307692307691,0.4,15
Daily_Tech_Society,proposed_no_validator,0.13333333333333333,0.07692307692307691,0.4,15
Daily_Tech_Society,raw,0.3333333333333333,0.2426470588235294,0.06666666666666667,15
Daily_Tech_Society,rule_only,0.13333333333333333,0.06666666666666667,0.26666666666666666,15
Environment_Energy,length_controlled,0.26666666666666666,0.125,0.06666666666666667,15
Environment_Energy,proposed,0.2,0.18333333333333335,0.13333333333333333,15
Environment_Energy,proposed_no_validator,0.2,0.18333333333333335,0.13333333333333333,15
Environment_Energy,raw,0.2,0.11538461538461539,0.4,15
Environment_Energy,rule_only,0.26666666666666666,0.2,0.13333333333333333,15
Medicine_Biology,length_controlled,0.25,0.10869565217391305,0.1,20
Medicine_Biology,proposed,0.2,0.09523809523809523,0.2,20
Medicine_Biology,proposed_no_validator,0.2,0.09523809523809523,0.2,20
Medicine_Biology,raw,0.25,0.10416666666666667,0.0,20
Medicine_Biology,rule_only,0.25,0.18333333333333335,0.2,20
Transportation_Engineering,length_controlled,0.26666666666666666,0.2,0.06666666666666667,15
Transportation_Engineering,proposed,0.06666666666666667,0.041666666666666664,0.2,15
Transportation_Engineering,proposed_no_validator,0.06666666666666667,0.041666666666666664,0.2,15
Transportation_Engineering,raw,0.13333333333333333,0.07142857142857144,0.26666666666666666,15
Transportation_Engineering,rule_only,0.13333333333333333,0.06666666666666667,0.06666666666666667,15
